NCEP_ID,IGRA_ID,LAT,LON,ELEV,IGRA_LAT,IGRA_LON
25042,RSM00025042,69.93,167.97,16,69.9333,167.9667
25173,RSM00025173,68.92,-179.48,4,68.92,-179.48
25399,RSM00025399,66.17,-169.83,7,66.167,-169.833
25400,RSM00025400,65.73,150.9,43,65.7333,150.9
25551,RSM00025551,64.68,170.42,33,64.683,170.417
25563,RSM00025563,64.78,177.57,62,64.7833,177.5667
25703,RSM00025703,62.92,152.42,206,62.9167,152.4167
25954,RSM00025954,60.35,166.0,2,60.35,166.0
26781,RSM00026781,54.75,32.07,233,54.75,32.0667
27459,RSM00027459,56.27,44.0,157,56.2667,44.0
27730,RSM00027730,54.63,39.7,158,54.6333,39.7
27944,RSM00027944,52.73,41.47,161,52.733,41.467
27947,RSM00027944,52.73,41.47,139,52.733,41.467
27962,RSM00027962,53.13,45.02,174,53.1228,45.0189
27995,RSM00027995,52.98,49.43,45,52.9833,49.4333
28445,RSM00028445,56.73,61.07,290,56.7333,61.0667
28698,RSM00028698,54.93,73.4,94,54.9333,73.4
28807,RSM00028900,53.25,50.45,40,53.25,50.45
28900,RSM00028900,53.25,50.45,44,53.25,50.45
29574,RSM00029574,56.0,92.88,194,56.0,92.883
29698,RSM00029698,54.88,99.03,410,54.8833,99.0333
29862,RSM00029862,53.77,91.32,256,53.7667,91.3167
30054,RSM00030054,59.45,112.58,193,59.45,112.5833
30554,RSM00030554,54.47,113.58,917,54.4667,113.5833
30692,RSM00030692,54.0,123.97,400,54.0,123.967
30715,RSM00030715,52.48,103.85,450,52.4833,103.85
30719,RSM00030710,52.27,104.32,468,52.267,104.317
30935,RSM00030935,50.37,108.75,770,50.3667,108.75
31004,RSM00031004,58.62,125.37,682,58.6167,125.3667
31088,RSM00031088,59.37,143.2,6,59.3667,143.2
31168,RSM00031168,56.45,138.15,7,56.45,138.15
31369,RSM00031369,53.15,140.7,47,53.1475,140.6939
31538,RSM00031538,50.07,132.13,314,50.0667,132.1333
31707,RSM00031707,47.73,130.97,72,47.733,130.967
31736,RSM00031736,48.53,135.23,72,48.5333,135.2333
31873,RSM00031873,45.87,133.73,105,45.8667,133.7333
31977,RSM00031977,43.27,132.05,82,43.2667,132.05
32061,RSM00032061,50.9,142.17,30,50.9,142.1667
32098,RSM00032098,49.22,143.1,4,49.2167,143.1
32186,RSM00032186,46.2,150.5,70,46.2,150.5
32389,RSM00032389,56.32,160.83,26,56.3167,160.8333
32618,RSM00032618,55.2,165.98,5,55.2,165.9833
33393,UPM00033393,49.82,23.95,334,49.8167,23.95
33631,UPM00033631,48.63,22.27,118,48.633,22.267
33815,MDM00033815,47.02,28.87,95,47.017,28.867
33966,UKM00033966,45.05,34.6,183,45.0464,34.5989
34247,RSM00034247,50.42,41.05,93,50.4167,41.05
34731,RSM00034731,47.25,39.82,79,47.25,39.8167
34858,RSM00034858,45.92,43.35,77,45.9167,43.35
35108,KZM00035108,51.25,51.4,36,51.25,51.4
35229,KZM00035229,50.28,57.15,227,50.2833,57.15
35361,KZM00035361,50.13,65.23,142,50.133,65.233
35671,KZM00035671,47.8,67.72,350,47.8,67.7167
36259,RSM00036259,50.0,88.67,1758,50.0,88.667
36859,KZM00036859,44.17,80.07,640,44.167,80.067
36974,KGM00036974,41.43,76.0,2041,41.433,76.0
37054,RSM00037055,44.22,43.1,308,44.2167,43.1
37260,GGM00037260,43.02,41.03,118,43.017,41.033
37395,GGM00037395,42.27,42.63,116,42.267,42.633
37735,AJM00037735,40.72,46.42,303,40.717,46.417
37860,AJM00037860,40.53,50.0,29,40.5333,50.0
37985,AJM00037985,38.73,48.83,-11,38.733,48.833
38001,KZM00038001,44.55,50.25,-20,44.55,50.25
38353,KGM00038353,42.83,74.58,823,42.833,74.583
38413,UZM00038413,41.73,64.62,220,41.733,64.617
38457,UZM00038457,41.27,69.27,477,41.267,69.267
38507,TXM00038507,40.03,52.98,89,40.0333,52.9833
38606,UZM00038606,40.55,70.95,405,40.55,70.95
38613,KGM00038613,40.92,72.95,771,40.917,72.95
38687,TXM00038687,39.08,63.6,193,39.083,63.6
38750,TXM00038750,37.47,53.97,-25,37.467,53.967
38927,UZM00038927,37.23,67.27,302,37.233,67.267
38954,TIM00038954,37.5,71.5,2080,37.5,71.5
