,accuracy,recall,precision,f1score,POD,FARatio,FAR,CSI,HSS,TSS
HRT,1.0,,,,,,0.0,,,
KAFW,0.7777777777777778,0.5,0.5,0.25,0.5,0.5,0.14285714285714285,0.3333333333333333,0.35714285714285715,0.35714285714285715
KAPA,0.6875,0.0,0.0,,0.0,1.0,0.08333333333333333,0.0,-0.1111111111111111,-0.08333333333333333
KBAD,0.8333333333333334,,0.0,,,1.0,0.16666666666666666,0.0,0.0,
KBKF,0.8461538461538461,0.3333333333333333,1.0,0.25,0.3333333333333333,0.0,0.0,0.3333333333333333,0.43478260869565216,0.3333333333333333
KBOI,1.0,,,,,,0.0,,,
KCCR,1.0,,,,,,0.0,,,
KCQX,1.0,,,,,,0.0,,,
KDEN,0.875,,0.0,,,1.0,0.125,0.0,0.0,
KDMA,1.0,,,,,,0.0,,,
KDTN,0.8333333333333334,,0.0,,,1.0,0.16666666666666666,0.0,0.0,
KDVN,0.9333333333333333,0.0,,,0.0,,0.0,0.0,0.0,0.0
KEDW,1.0,,,,,,0.0,,,
KEET,0.6,0.0,0.0,,0.0,1.0,0.25,0.0,-0.25,-0.25
KEKO,0.95,0.0,,,0.0,,0.0,0.0,0.0,0.0
KFCM,0.9285714285714286,0.0,0.0,,0.0,1.0,0.037037037037037035,0.0,-0.037037037037037035,-0.037037037037037035
KFFC,1.0,,,,,,0.0,,,
KFLG,0.8888888888888888,0.0,,,0.0,,0.0,0.0,0.0,0.0
KFOE,0.9230769230769231,0.5,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.6285714285714286,0.5
KFOK,0.95,,0.0,,,1.0,0.05,0.0,0.0,
KFSI,1.0,,,,,,0.0,,,
KFTW,0.9166666666666666,0.0,,,0.0,,0.0,0.0,0.0,0.0
KGAG,1.0,,,,,,0.0,,,
KGFA,0.9285714285714286,0.0,,,0.0,,0.0,0.0,0.0,0.0
KGKY,0.8888888888888888,1.0,0.5,0.3333333333333333,1.0,0.5,0.125,0.5,0.6086956521739131,0.875
KGLR,0.9230769230769231,0.0,0.0,,0.0,1.0,0.04,0.0,-0.04,-0.04
KHKS,0.8333333333333334,,0.0,,,1.0,0.16666666666666666,0.0,0.0,
KHWD,1.0,,,,,,0.0,,,
KHWO,1.0,,,,,,0.0,,,
KIAG,0.9444444444444444,0.5,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.64,0.5
KISP,0.8620689655172413,0.0,0.0,,0.0,1.0,0.10714285714285714,0.0,-0.05454545454545454,-0.10714285714285714
KLAW,1.0,,,,,,0.0,,,
KLIT,1.0,,,,,,0.0,,,
KLRF,0.75,0.0,0.0,,0.0,1.0,0.1,0.0,-0.125,-0.1
KMIC,0.92,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.33333333333333337,0.045454545454545456,0.5,0.6212121212121212,0.6212121212121212
KMRH,1.0,,,,,,0.0,,,
KMYF,1.0,,,,,,0.0,,,
KNFW,0.8333333333333334,,0.0,,,1.0,0.16666666666666666,0.0,0.0,
KNGP,1.0,,,,,,0.0,,,
