NCEP_ID IGRA_ID LAT LON ELEV
40745 IRM00040745  36.2700  59.6300   989
40809 IRM00040809  32.8700  59.2000  1491
40811 IRM00040811  31.3300  48.6700    20
40841 IRM00040841  30.2500  56.9700  1754
40856 IRM00040856  29.4700  60.8800  1370
40911 AFM00040911  36.7000  67.2000   378
40913 AFM00040913  36.6700  68.9200   433
40938 AFM00040938  34.2200  62.2200   964
40948 AFM00040948  34.5500  69.2200  1791
40990 AFM00040990  31.5000  65.8500  1005
41112 SAM00041112  18.2300  42.6500  2084
41114 SAM00041114  18.3000  42.8000  2054
41217 AEM00041217  24.4300  54.6500    27
41344 YMM00041344  15.5200  44.1800  2206
41404 YMM00041404  15.3800  44.2000  2190
41467 YMM00041480  12.8300  45.0300     3
41480 YMM00041480  12.8300  45.0300     3
41515 PKM00041515  35.5700  71.7800  1465
41516 PKM00041516  35.9200  74.3300  1459
41560 PKM00041560  33.8700  70.0800  1726
41570 PKM00041571  33.6200  73.1000   507
41571 PKM00041571  33.6200  73.1000   508
41594 PKM00041594  32.0500  72.6700   186
41598 PKM00041598  32.9300  73.7200   232
41600 PKM00041600  32.5000  74.5300   251
41620 PKM00041620  31.3500  69.4700  1407
41624 PKM00041624  31.8200  70.9200   173
41640 PKM00041640  31.5500  74.3300   213
41685 PKM00041685  29.8800  69.7200  1098
41696 PKM00041696  29.0300  66.5800  2015
41710 PKM00041710  28.8200  62.7500   679
41712 PKM00041712  28.8800  64.4000   848
41715 PKM00041715  28.3000  68.4700    55
41718 PKM00041718  28.6500  70.6800    87
41739 PKM00041739  26.9700  64.1000   968
41744 PKM00041744  27.8300  66.6300  1232
41749 PKM00041749  26.2500  68.3700    37
41756 PKM00041756  25.0700  61.8000    56
41759 PKM00041759  25.2700  63.4800     6
41764 PKM00041764  25.3800  68.4200    41
41765 PKM00041764  25.3800  68.4200    28
41768 PKM00041768  25.5200  69.7800     5
41780 PKM00041780  24.9000  67.1300    23
41858 BGM00041883  24.8500  89.3700    18
41883 BGM00041883  24.8500  89.3700    18
41891 BGM00041891  24.9000  91.8800    34
41900 BGM00041891  24.9000  91.8800    15
41936 BGM00041936  23.1800  89.1700     6
41940 BGM00041977  22.3500  91.8200    26
41941 BGM00041977  22.3500  91.8200     4
41977 BGM00041977  22.3500  91.8200    34
42027 INM00042027  34.0800  74.8300  1587
42056 INM00042056  32.6700  74.8300   367
42071 INM00042071  31.6300  74.8700   229
42101 INM00042101  30.3300  76.4700   249
42103 INM00042103  30.3800  76.7700   271
42111 INM00042111  30.3200  78.0300   683
42123 INM00042123  29.9200  73.8800   176
42165 INM00042165  28.0000  73.3000   223
42170 INM00042170  28.2500  74.9200   290
42182 INM00042182  28.5800  77.2000   214
42189 INM00042189  28.3700  79.4000   172
42260 INM00042260  27.1500  77.9700   166
42273 INM00042273  27.5700  81.6000   122
42299 INM00042299  27.3300  88.6200  1756
42314 INM00042314  27.4800  95.0200   110
42328 INM00042328  26.9000  70.9200   237
42339 INM00042339  26.3000  73.0200   217
42348 INM00042348  26.8200  75.8000   385
42361 INM00042361  26.2300  78.2500   205
42369 INM00042369  26.7500  80.8800   122
42379 INM00042379  26.7500  83.3700    76
42382 INM00042382  26.9800  84.8500    79
42397 INM00042397  26.6700  88.3700   123
42399 INM00042399  26.5300  88.7200    83
42410 INM00042410  26.1000  91.5800    48
42435 INM00042435  25.7500  71.3800   193
42452 INM00042452  25.1500  75.8500   273
42475 INM00042475  25.4500  81.7300    97
42498 INM00042498  25.2300  86.9500    44
42542 INM00042542  24.6200  73.8800   512
42591 INM00042591  24.7500  84.9500   110
42623 INM00042623  24.7700  93.9000   780
42667 INM00042667  23.2800  77.3500   523
42701 INM00042701  23.3200  85.3200   654
42724 INM00042724  23.8800  91.2500    16
42779 INM00042779  22.7700  81.9000   624
42799 INM00042798  22.8200  86.1800   129
42809 INM00042809  22.6500  88.4500     5
42840 INM00042840  21.2000  72.8300    10
42867 INM00042867  21.1000  79.0500   309
42875 INM00042874  21.2300  81.6500   296
42886 INM00042886  21.9200  84.0800   228
42909 INM00042909  20.9000  70.3700     6
43003 INM00043003  19.1200  72.8500     8
43014 INM00043014  19.8500  75.4000   586
43041 INM00043041  19.0800  82.0300   552
43049 INM00043049  19.2700  84.8800    16
43063 INM00043063  18.5300  73.8500   559
43110 INM00043110  16.9800  73.3300    34
43128 INM00043128  17.4500  78.4700   531
43181 INM00043181  16.5300  80.8000    21
43192 INM00043192  15.4800  73.8200    58
43201 INM00043201  15.4200  75.6300   649
43237 INM00043237  14.6800  77.6200   349
43279 INM00043279  13.0000  80.1800    10
43284 INM00043284  12.9200  74.8800   102
43285 INM00043285  12.9500  74.8300    31
43295 INM00043295  12.9700  77.5800   920
43311 INM00043311  11.1200  72.7300     3
43333 INM00043333  11.6700  92.7200    73
43344 INM00043344  10.7700  78.7200    85
43346 INM00043346  10.9200  79.8300     7
43353 INM00043353   9.9300  76.2300     1
43368 INM00043368   9.1500  92.8200    13
43371 INM00043371   8.4800  76.9500    60
43413 CEM00043413   8.9800  79.9200     3
43418 CEM00043418   8.5800  81.2500     3
43421 CEM00043421   8.3300  80.4200    89
43424 CEM00043424   8.0300  79.8300     2
43466 CEM00043466   6.9000  79.8700     6
43497 CEM00043497   6.1200  81.1300    18
43540 INM00042027  34.0800  74.8300  1585
44231 MGM00044231  49.6300 100.1700  1288
44239 MGM00044239  48.8000 103.5500  1210
44241 MGM00044241  48.9200 106.0700   807
44272 MGM00044272  47.7500  96.8500  1753
44277 MGM00044277  46.4000  96.2500  2147
44282 MGM00044282  47.4500 101.4700  1712
44288 MGM00044288  46.2700 102.7800  1832
44341 MGM00044341  45.7700 106.2800  1398
44354 MGM00044354  44.9000 110.1200   936
44373 MGM00044373  43.5800 104.4200  1470
44385 MGM00044385  43.2000 107.1700   914
44454 NPM00044454  27.7000  85.3700  1337
45004 HKM00045004  22.3200 114.1700    65
46692 TWM00058968  25.0300 121.5200     8
46736 TWM00046736  24.4300 118.4300    12
46746 TWM00046746  23.4700 120.3800    25
46747 TWM00046747  22.4700 120.4300     8
46750 TWM00046750  22.6700 120.4500    24
46751 TWM00046751  24.1800 120.6500   111
46811 TWM00046810  20.7200 116.7200     3
46902 TWM00046902  10.7200 115.8300     5
47107 KSM00047107  37.7500 128.9500     6
47111 KSM00047111  37.4300 127.1200    20
47118 KSM00047118  37.4300 127.9500   101
47128 KSM00047128  36.7000 127.5000    58
47131 KSM00047131  36.6300 127.4300    59
47138 KSM00047138  36.0300 129.3700     6
47142 KSM00047142  35.9000 128.6500    37
47161 KSM00047161  35.0800 128.0800     8
47169 KSM00047169  34.6800 125.4500    77
47401 JAM00047401  45.4200 141.6800     3
47420 JAM00047420  43.3300 145.5800    26
47582 JAM00047582  39.7200 140.1000     9
47590 JAM00047590  38.2700 140.9000    38
47604 JAM00047604  37.9200 139.0500     2
47624 JAM00047624  36.4000 139.0700   112
47646 JAM00047646  36.0500 140.1300    31
47655 JAM00047655  34.6000 138.2200    45
47684 JAM00047684  34.9300 136.5800    47
47688 JAM00047688  34.9800 139.8300     2
47738 JAM00047678  33.1200 139.7800    91
47741 JAM00047741  35.4500 133.0700    17
47744 JAM00047744  35.4300 133.3500     7
47764 JAM00047764  34.1500 132.2300     3
47772 JAM00047772  34.6800 135.5200    23
47787 JAM00047787  34.0500 131.0500     4
47807 JAM00047807  33.5800 130.3800     3
47810 JAM00047810  33.1500 130.3000     5
47855 JAM00047855  32.9200 129.9200     6
47881 JAM00047881  34.1300 134.6000     2
47884 JAM00047884  34.0000 134.6300     3
47898 JAM00047898  32.7200 133.0200    30
47918 JAM00047918  24.3300 124.1700     6
47931 JAM00047931  26.3500 127.7500    43
47938 JAM00047938  26.7200 127.7800    70
47945 JAM00047945  25.8300 131.2300    15
47981 JAM00047981  24.7800 141.3300   106
48042 BMM00048042  21.9800  96.1000    74
48060 BMM00048060  21.3000  99.6200   827
48062 BMM00048062  20.1300  92.8800     9
48080 BMM00048080  18.4700  94.3500     9
48094 BMM00048094  16.7700  94.7700     9
48096 BMM00048096  16.9000  96.1800    28
48097 BMM00048097  16.7700  96.1700    15
48108 BMM00048108  14.1000  98.2200    26
48109 BMM00048109  14.1200  93.3700     2
48110 BMM00048110  12.4300  98.6000    36
48354 THM00048354  17.3700 102.8000   178
48407 THM00048407  15.2500 104.8700   123
48431 THM00048431  14.9700 102.0800   187
48601 MYM00048601   5.3000 100.2700     3
48602 MYM00048602   5.4700 100.3800     1
48615 MYM00048615   6.1700 102.2800     4
48620 MYM00048620   4.2200 100.7000     8
48648 MYM00048648   3.1000 101.6500    57
48650 MYM00048650   2.7200 101.7000    17
48657 MYM00048657   3.7800 103.2200    18
48698 SNM00048698   1.3700 103.9800     3
48839 VMM00048839  20.1300 107.7200    60
48887 VMM00048887  10.9300 108.1000    10
48900 VMM00048900  10.8200 106.6700     9
50353 CHM00050353  51.7200 126.6500   170
50603 CHM00050603  48.6700 116.8200   556
50745 CHM00050745  47.3800 123.9200   147
51076 CHM00051076  47.7300  88.0800   735
51133 CHM00051133  46.7300  83.0000   540
51243 CHM00051243  45.6000  84.8500   426
51288 CHM00051288  45.3700  90.5300  1651
51334 CHM00051334  44.6200  82.9000   321
51379 CHM00051379  44.0200  89.5700   797
51431 CHM00051431  43.9500  81.3300   670
51495 CHM00051495  43.4800  91.6300   864
51573 CHM00051573  42.9300  89.2000    35
51644 CHM00051644  41.7200  82.9500  1100
51656 CHM00051656  41.7500  86.1300   933
51711 CHM00051711  40.9300  78.4500  1986
51716 CHM00051716  39.8000  78.5700  1117
51765 CHM00051765  40.6300  87.7000   847
51777 CHM00051777  39.0300  88.1700   889
51811 CHM00051811  38.4300  77.2700  1232
51828 CHM00051828  37.1300  79.9300  1375
51848 CHM00051848  37.9300  83.6500  1264
51886 CHM00051886  38.2500  90.8500  2945
52203 CHM00052203  42.8200  93.5200   739
52323 CHM00052323  41.8000  97.0300  1770
52418 CHM00052418  40.1500  94.6800  1140
52436 CHM00052436  40.2700  97.0300  1527
52495 CHM00052495  40.7500 104.5000  1329
52533 CHM00052533  39.7700  98.4800  1478
52602 CHM00052602  38.8300  93.3800  2734
52681 CHM00052681  38.6300 103.0800  1367
52713 CHM00052713  37.8500  95.3700  3174
52818 CHM00052818  36.4200  94.9000  2809
52836 CHM00052836  36.3000  98.1000  3192
52889 CHM00052889  36.0500 103.8800  1518
52908 CHM00052908  35.2200  93.0800  4613
52983 CHM00052983  35.8700 104.1500  1875
53083 CHM00053083  44.6200 114.1500  1183
53231 CHM00053231  41.4500 106.3800  1510
53276 CHM00053276  42.4000 112.9000  1152
53336 CHM00053336  41.5700 108.5200  1290
53487 CHM00053487  40.1000 113.3300  1069
53502 CHM00053502  39.7800 105.7500  1033
53529 CHM00053529  39.1000 107.9800  1381
53543 CHM00053543  39.8300 109.9800  1459
